维度组合,Dimension_Combination,维度数,PR_AUC,PR_AUC_SD,ROC_AUC,ROC_AUC_SD,F1,F1_SD
信息,Information,1,0.4573,0.0045,0.9346,0.0014,0.4326,0.0039
形式,Form,1,0.4084,0.0081,0.9034,0.0021,0.3845,0.0035
加工,Processing,1,0.3478,0.0096,0.8670,0.0028,0.2800,0.0042
拓扑,Topology,1,0.3160,0.0079,0.8708,0.0029,0.2567,0.0017
角色,Role,1,0.0724,0.0004,0.5721,0.0024,0.1364,0.0007
拓扑+信息,Topology+Information,2,0.8038,0.0074,0.9802,0.0010,0.5940,0.0069
拓扑+形式,Topology+Form,2,0.7290,0.0090,0.9694,0.0010,0.4775,0.0045
拓扑+加工,Topology+Processing,2,0.6936,0.0052,0.9627,0.0009,0.4598,0.0040
加工+信息,Processing+Information,2,0.5926,0.0095,0.9509,0.0010,0.4458,0.0040
信息+角色,Information+Role,2,0.5572,0.0056,0.9492,0.0014,0.4600,0.0126
加工+形式,Processing+Form,2,0.5428,0.0082,0.9299,0.0016,0.3806,0.0041
信息+形式,Information+Form,2,0.5269,0.0045,0.9444,0.0012,0.4487,0.0038
形式+角色,Form+Role,2,0.4829,0.0089,0.9224,0.0022,0.3648,0.0041
拓扑+角色,Topology+Role,2,0.4158,0.0056,0.9065,0.0022,0.3084,0.0037
加工+角色,Processing+Role,2,0.4094,0.0075,0.9102,0.0020,0.3165,0.0109
拓扑+信息+角色,Topology+Information+Role,3,0.8430,0.0053,0.9852,0.0008,0.6367,0.0049
拓扑+加工+信息,Topology+Processing+Information,3,0.8240,0.0051,0.9815,0.0009,0.5986,0.0068
拓扑+信息+形式,Topology+Information+Form,3,0.8167,0.0077,0.9822,0.0010,0.6005,0.0067
拓扑+形式+角色,Topology+Form+Role,3,0.7792,0.0098,0.9767,0.0011,0.5566,0.0045
拓扑+加工+形式,Topology+Processing+Form,3,0.7677,0.0060,0.9736,0.0009,0.4993,0.0026
拓扑+加工+角色,Topology+Processing+Role,3,0.7490,0.0061,0.9749,0.0007,0.5431,0.0051
加工+信息+角色,Processing+Information+Role,3,0.6665,0.0076,0.9679,0.0010,0.5292,0.0029
加工+信息+形式,Processing+Information+Form,3,0.6392,0.0084,0.9573,0.0011,0.4631,0.0045
加工+形式+角色,Processing+Form+Role,3,0.6149,0.0079,0.9526,0.0014,0.4222,0.0036
信息+形式+角色,Information+Form+Role,3,0.6127,0.0047,0.9563,0.0012,0.4724,0.0039
拓扑+加工+信息+角色,Topology+Processing+Information+Role,4,0.8732,0.0041,0.9884,0.0006,0.6683,0.0049
拓扑+信息+形式+角色,Topology+Information+Form+Role,4,0.8576,0.0060,0.9870,0.0008,0.6475,0.0048
拓扑+加工+信息+形式,Topology+Processing+Information+Form,4,0.8389,0.0059,0.9837,0.0009,0.6081,0.0058
拓扑+加工+形式+角色,Topology+Processing+Form+Role,4,0.8251,0.0074,0.9830,0.0008,0.5797,0.0046
加工+信息+形式+角色,Processing+Information+Form+Role,4,0.7129,0.0061,0.9721,0.0010,0.5380,0.0034
拓扑+加工+信息+形式+角色,All_Five_Dimensions,5,0.8863,0.0048,0.9899,0.0006,0.6816,0.0040
